,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
49,50,126,2019-08-19,KCA,BAL,7-7,H(9),2,1.0,2,1,1,2,2,0,0,5.15,7,35,21,2,6,1,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,2.72,-0.008,0.0,0.00%,-0.45,1.85,6.0,7b --- 0 out a3,7b 3 out a2,,BAL,4.0,W,5,4
50,51,128,2019-08-21,KCA,BAL,7-7,,1,1.0,0,0,0,1,2,0,0,5.05,4,20,14,3,5,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.0,0.00%,0.55,5.65,9.0,7b --- 0 out d7,7b 3 out d7,,BAL,1.0,L,1,8
51,52,130,2019-08-24,KCA,CLE,7-7,,2,1.0,0,0,0,1,0,0,0,4.96,3,14,7,3,0,0,2,2,0,0,,0,0,0,0,1,2,0,0,0,0,0,0,0.38,0.028999999999999998,0.0,0.00%,0.58,1.65,3.0,7b --- 0 out d2,7b 3 out d2,,CLE,1.0,L,2,4
52,53,131,2019-08-25,KCA,CLE,6-7,BS(2),0,1.0,2,1,1,0,2,0,0,5.03,5,16,12,3,3,2,1,0,0,0,,0,0,0,0,0,5,0,1,0,0,0,0,1.48,-0.172,0.0,0.00%,-0.83,3.05,6.0,6b --- 0 out a1,7b 1-- 0 out tie,,CLE,2.0,W,9,8
53,54,133,2019-08-27,KCA,OAK,8-8,,1,1.0,0,0,0,1,2,0,0,4.94,4,16,8,2,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.8,0.059000000000000004,0.0,0.00%,0.56,5.65,9.0,8t --- 0 out d1,8t 3 out d1,,KCR,1.0,L,1,2
54,55,135,2019-08-29,KCA,OAK,9-GF,,1,1.0,0,0,0,0,0,0,0,4.85,3,8,6,1,1,2,1,0,1,0,,2,1,0,0,0,2,0,0,0,0,0,0,0.98,-0.008,0.0,0.00%,0.58,2.25,3.0,9t 12- 0 out d1,9t end d 2,,KCR,0.0,L,8,9
55,56,137,2019-08-31,KCA,BAL,7-8,W(3-3),1,1.2,0,0,0,0,2,0,0,4.71,5,26,17,5,4,2,1,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.42,0.17600000000000002,0.0,0.00%,1.13,11.75,23.0,7t 1-- 1 out d1,8t 3 out tie,,KCR,0.0,W,7,5
56,57,139,2019-09-03,KCA,DET,6-7,H(10),2,1.1,2,1,1,0,1,0,0,4.76,6,17,12,3,2,2,3,1,0,0,,1,0,0,0,0,6,1,0,0,0,0,0,1.23,0.01,0.0,0.00%,-0.19,1.8,4.0,6t 1-- 2 out a2,7t 3 out a1,,KCR,1.818181818181818,W,6,5
57,58,140,2019-09-04,KCA,DET,8-8,H(11),0,1.0,1,0,0,1,2,0,0,4.68,5,26,18,6,2,1,1,1,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,3.04,0.075,0.0,0.00%,-0.04,5.05,9.0,8t 1-- 0 out a2,8t 3 out a1,,KCR,2.0,W,5,4
58,59,142,2019-09-06,KCA,MIA,8-8,H(12),1,1.0,2,0,0,0,1,0,0,4.6,5,24,14,2,3,2,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.98,0.051,0.0,0.00%,0.5,3.05,6.0,8b --- 0 out a3,8b 3 out a3,,MIA,2.0,W,3,0
59,60,146,2019-09-11,KCA,CHW,6-7,H(13),4,2.0,1,1,1,0,1,0,0,4.6,7,24,14,4,3,2,4,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.16,0.065,0.0,0.00%,0.07,3.9,6.0,6b --- 0 out a3,7b 3 out a2,,CHW,0.5,W,8,6
60,61,147,2019-09-12,KCA,CHW,7-7,H(14),0,0.2,2,0,0,1,2,0,0,4.55,5,20,11,3,5,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.81,-0.05,0.0,0.00%,-0.26,3.7,8.0,7b --- 0 out a2,7b 123 2 out a2,,CHW,15.0,W,6,3
61,62,151,2019-09-16,KCA,OAK,6-7,,3,1.2,1,0,0,0,2,0,0,4.43,6,25,16,5,5,2,2,0,0,0,,0,0,0,0,0,6,0,1,0,0,0,0,1.23,0.132,0.0,0.00%,0.8,7.15,11.0,6b --- 1 out tie,7b 3 out tie,,OAK,0.8333333333333334,W,6,5
62,63,153,2019-09-18,KCA,OAK,8-9,,1,1.2,0,0,0,1,3,0,0,4.32,6,27,14,5,5,2,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.64,0.18600000000000003,0.0,0.00%,0.81,9.15,14.0,8b --- 0 out tie,9b 1-- 2 out tie,,OAK,0.8333333333333334,L,0,1
63,64,155,2019-09-20,KCA,MIN,6-6,,1,0.1,2,1,1,1,0,0,0,4.43,4,17,11,2,3,2,1,1,0,0,,1,1,0,0,0,3,1,0,0,0,0,0,0.91,-0.17800000000000002,0.0,0.00%,-1.75,-3.05,-2.0,6b 1-- 2 out d1,6b 3 out d3,,MIN,30.0,L,3,4
64,65,156,2019-09-21,KCA,MIN,7-8,,0,1.2,1,0,0,0,2,0,0,4.33,6,27,18,3,4,3,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.53,0.152,0.0,0.00%,0.86,7.15,11.0,7b --- 0 out tie,8b 1-- 2 out tie,,MIN,0.8333333333333334,W,12,5
65,66,158,2019-09-24,KCA,ATL,8-8,,2,0.2,0,0,0,1,1,0,0,4.28,3,13,8,6,0,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,0.51,0.015,0.0,0.00%,0.57,2.9,5.0,8t 1-- 1 out a5,8t 3 out a5,,KCR,5.0,W,9,6
66,67,161,2019-09-28,KCA,MIN,9-GF,,3,1.0,1,0,0,0,0,0,0,4.22,4,14,8,1,1,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.74,0.045,0.0,0.00%,0.56,1.65,3.0,9t --- 0 out d1,9t end d 1,,KCR,1.0,L,3,4
