,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
49,50,78,2019-06-23,,OAK,2-7,W(6-3),4,6.0,5,1,1,0,3,0,0,4.87,23,91,64,16,5,8,12,6,2,0,,1.0,1.0,0,0,0,23,2,0,0,0,0,0,0.54,0.07400000000000001,0.75,0.06%,1.54,18.5,36.0,2b 1-- 0 out tie,7b 3 out a6,,OAK,0.8333333333333334,W,8,2
50,51,81,2019-06-27,,MIN,16-GF(18),W(7-3),3,3.0,2,0,0,0,5,0,0,4.62,10,42,29,9,5,2,3,2,0,0,,0.0,0.0,0,0,0,10,0,0,0,1,0,0,1.74,0.34299999999999997,2.16,0.26%,1.66,19.55,36.0,16b --- 0 out tie,18b end a 3,,MIN,0.6666666666666666,W,5,2
51,52,85,2019-07-01,,BAL,3-5,,3,3.0,4,1,1,2,3,0,0,4.55,14,61,37,7,5,2,7,4,1,0,,0.0,0.0,0,1,0,12,1,0,0,0,0,0,1.37,0.084,1.64,0.06%,0.61,7.15,15.0,3t --- 0 out a2,5t 3 out a1,,TBR,2.0,W,6,3
52,53,95,2019-07-14,,BAL,3-9,W(8-3),12,6.1,2,1,1,0,6,0,0,4.26,21,82,57,18,12,9,6,4,0,0,,0.0,0.0,0,0,0,21,0,0,0,0,0,0,0.73,0.28,0.95,0.22%,2.87,27.05,46.0,3b --- 0 out a2,9b 12- 1 out a4,,BAL,0.3278688524590164,W,4,1
53,54,101,2019-07-20,,CHW,GS-6,,5,6.0,2,0,0,0,5,0,0,3.93,20,75,53,13,9,10,5,0,2,0,73.0,,,0,0,0,20,0,0,0,0,0,0,1.04,0.365,1.19,0.25%,3.22,22.3,33.0,1t start tie,6t 3 out tie,,TBR,0.3333333333333333,L,1,2
54,55,106,2019-07-26,,TOR,2-7,W(9-3),5,5.1,4,1,1,1,4,0,0,3.78,21,61,45,12,3,7,9,3,2,0,,0.0,0.0,0,0,0,20,2,0,0,0,0,0,1.26,0.23399999999999999,1.34,0.15%,1.93,19.0,37.0,2b --- 0 out tie,7b --- 1 out a2,,TOR,0.9803921568627452,W,3,1
55,56,110,2019-07-31,,BOS,3-7,W(10-3),4,4.1,6,4,4,0,3,2,0,4.01,19,75,51,11,2,5,11,4,4,0,,2.0,1.0,0,0,0,18,1,0,0,0,1,0,0.81,0.086,1.22,0.08%,-0.68,8.15,22.0,3b 1-3 1 out a5,7b 1-- 2 out a4,,BOS,1.4634146341463417,W,8,5
56,57,115,2019-08-06,,TOR,3-7,,5,4.2,4,3,1,1,5,1,0,3.9,20,63,41,11,6,8,6,4,1,0,,0.0,0.0,0,1,1,19,1,0,0,0,0,2,0.77,0.053,0.88,0.04%,-0.78,15.5,26.0,3t --- 0 out d3,7t 12- 2 out tie,,TBR,1.1904761904761905,W,7,6
57,58,119,2019-08-11,,SEA,GS-9,W(11-3),4,8.2,3,0,0,0,8,0,0,3.56,29,100,74,28,12,10,10,4,2,0,86.0,,,0,1,0,28,0,0,0,0,0,0,1.25,0.795,1.49,0.57%,4.51,37.7,62.0,1b start tie,9b --- 2 out a1,,SEA,0.3658536585365854,W,1,0
58,59,124,2019-08-17,,DET,GS-7,,5,6.1,3,0,0,0,10,0,1,3.34,22,83,65,15,17,6,5,3,1,0,77.0,,,0,0,0,21,2,0,0,1,0,0,1.0,0.332,1.14,0.23%,3.04,31.85,49.0,1t start tie,7t -2- 1 out tie,,TBR,0.4918032786885246,W,1,0
59,60,129,2019-08-22,,BAL,GS-5,,4,4.1,3,2,1,0,5,0,0,3.29,17,65,44,10,9,5,7,2,3,0,56.0,,,0,0,0,17,2,0,0,0,0,1,0.74,-0.03,0.9,-0.02%,0.02,15.95,25.0,1b start tie,5b -2- 1 out tie,,BAL,0.7317073170731708,W,5,2
60,61,134,2019-08-28,,HOU,GS-6,,5,6.0,4,3,3,1,5,1,0,3.36,23,85,55,17,10,3,14,4,5,0,56.0,,,0,0,0,22,2,0,0,0,0,0,0.98,0.052000000000000005,1.19,0.04%,0.42,14.5,24.0,1b start tie,6b 3 out tie,,HOU,0.8333333333333334,L,6,8
61,62,139,2019-09-02,,BAL,GS-6,,4,6.0,9,4,4,0,4,1,0,3.49,26,98,69,16,8,7,15,8,1,0,42.0,,,0,0,0,26,1,0,0,1,0,0,1.01,-0.057999999999999996,1.23,-0.04%,-0.79,8.1,18.0,1t start tie,6t 3 out tie,,TBR,1.5,W,5,4
62,63,146,2019-09-10,,TEX,GS-7,,7,7.0,3,3,3,1,7,1,1,3.51,26,102,69,15,10,8,9,6,1,0,65.0,,,1,0,0,24,1,0,0,0,0,0,0.68,0.03,0.68,0.02%,1.29,20.75,33.0,1b start tie,7b 3 out d2,,TEX,0.5714285714285714,W,5,3
63,64,151,2019-09-15,,LAA,GS-5,L(11-4),4,5.0,10,6,6,2,3,1,0,3.78,25,93,60,13,9,11,9,3,2,0,24.0,,,2,0,0,23,2,0,0,1,0,0,0.77,-0.26899999999999996,0.84,-0.18%,-3.29,-1.95,6.0,1b start a 1,5b 3 out d5,,LAA,2.4,L,4,6
64,65,156,2019-09-22,,BOS,GS-4,L(11-5),6,3.1,8,6,6,1,2,1,1,4.08,20,63,40,9,5,6,10,5,2,0,21.0,,,0,0,0,18,1,0,0,0,0,0,0.88,-0.29,1.58,-0.31%,-3.08,-6.5,-2.0,1t start tie,4t 1-3 1 out d1,,TBR,2.9032258064516134,L,4,7
65,66,161,2019-09-28,,TOR,GS-5,L(11-6),5,5.0,5,3,3,2,3,1,1,4.13,21,79,46,9,8,7,8,1,2,0,46.0,,,1,0,0,18,1,1,1,2,0,0,0.66,-0.12,0.32,-0.04%,-0.32,6.45,15.0,1b start tie,5b 3 out d3,,TOR,1.4,L,1,4
