Name,first_season,last_season,games_played,games_started,teams,num_teams,key_mlbam,key_retro,key_bbref,key_fangraphs,pitcher_cleaned
Ariel Pena,2015,2016,7,5,['Brewers'],1,516414,penaa003,penaar01,10240,arielpena
Ariel Prieto,2000,2001,11,6,['Athletics' 'Devil Rays'],2,120768,priea001,prietar01,1010536,arielprieto
Armando Gabino,2009,2010,7,1,['Twins' 'Orioles'],2,471803,gabia001,gabinar01,3387,armandogabino
Armando Galarraga,2007,2012,100,91,['Rangers' 'Tigers' 'Diamondbacks' 'Astros'],4,451482,galaa002,galarar01,4222,armandogalarraga
Armando Reynoso,2000,2002,42,39,['Diamondbacks'],1,121117,reyna001,reynoar02,72,armandoreynoso
Arnie Munoz,2004,2007,24,1,['White Sox' 'Nationals'],2,408097,munoa001,munozar01,2111,arniemunoz
Artie Lewicki,2017,2018,17,4,['Tigers'],1,592499,lewia001,lewicar01,16731,artielewicki
Asher Wojciechowski,2015,2019,47,27,['Astros' 'Reds' 'Orioles'],3,592879,wojca001,wojcias01,10836,asherwojciechowski
Austin Adams,2017,2019,38,2,['Nationals' '- - -'],2,613534,adama002,adamsau02,13801,austinadams
Austin Bibens-Dirkx,2017,2018,37,12,['Rangers'],1,502212,bibea001,bibenau01,9559,austinbibensdirkx
Austin Gomber,2018,2018,29,11,['Cardinals'],1,596295,gomba001,gombeau01,16561,austingomber
Austin Pruitt,2017,2019,67,10,['Rays'],1,643493,pruia001,pruitau01,15290,austinpruitt
Austin Voth,2018,2019,13,10,['Nationals'],1,608723,votha001,vothau01,15047,austinvoth
B.J. Rosenberg,2012,2014,57,1,['Phillies'],1,543725,roseb003,rosenbj01,7183,bjrosenberg
Barry Enright,2010,2013,31,26,['Diamondbacks' 'Angels'],2,446264,enrib001,enrigba01,2412,barryenright
Barry Zito,2000,2015,433,421,['Athletics' 'Giants'],2,217096,zitob001,zitoba01,944,barryzito
Bartolo Colon,2000,2018,483,472,"['Indians' '- - -' 'White Sox' 'Angels' 'Red Sox' 'Yankees' 'Athletics'
 'Mets' 'Rangers']",9,112526,colob001,colonba01,375,bartolocolon
Beltran Perez,2006,2006,8,3,['Nationals'],1,425558,pereb001,perezbe01,2116,beltranperez
Ben Diggins,2002,2002,5,5,['Brewers'],1,424947,diggb001,diggibe01,1599,bendiggins
Ben Ford,2000,2004,23,2,['Yankees' 'Brewers'],2,136421,fordb002,fordbe01,1858,benford
Ben Hendrickson,2004,2006,14,12,['Brewers'],1,430608,hendb001,hendrbe01,2175,benhendrickson
Ben Howard,2002,2004,40,8,['Padres' 'Marlins'],2,407806,howab001,howarbe01,1452,benhoward
Ben Kozlowski,2002,2002,2,2,['Rangers'],1,420684,kozlb001,kozlobe01,1634,benkozlowski
Ben Lively,2017,2019,26,20,['Phillies' '- - -' 'Royals'],3,594902,liveb001,livelbe01,14932,benlively
Ben Sheets,2001,2012,250,250,['Brewers' 'Athletics' 'Braves'],3,282656,sheeb001,sheetbe01,710,bensheets
Bill Pulsipher,2000,2005,44,2,['Mets' '- - -' 'Cardinals'],3,120802,pulsb001,pulsibi01,842,billpulsipher
Billy Buckner,2007,2014,44,24,['Royals' 'Diamondbacks' 'Angels' 'Padres'],4,434438,buckb002,bucknbi02,8253,billybuckner
Billy Traber,2003,2009,96,28,['Indians' 'Nationals' 'Yankees' 'Red Sox'],4,407896,trabb001,trabebi01,410,billytraber
Blaine Hardy,2014,2019,233,13,['Tigers'],1,543278,hardb001,hardybl01,6499,blainehardy
Blake Beavan,2011,2014,54,44,['Mariners'],1,518444,beavb001,beavabl01,338,blakebeavan
Blake Hawksworth,2009,2011,124,8,['Cardinals' 'Dodgers'],2,458003,hawkb001,hawksbl01,8963,blakehawksworth
Blake Parker,2012,2019,289,2,['Cubs' '- - -' 'Angels'],3,453284,parkb001,parkebl01,5224,blakeparker
