Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year,WHIP
Pirates,72,89,4.31,625,161,3,2,46,76.0,23.0,1428.0,6197,1451,744,684,149,576,64,63,45,3,1079,2004,1.419467787114846
Expos,67,95,4.33,624,162,11,4,31,59.0,18.0,1447.0,6307,1477,769,696,191,582,78,79,43,2,1032,2004,1.42294402211472
Braves,96,66,3.75,645,162,4,1,48,71.0,20.0,1450.0,6218,1475,668,604,154,523,50,27,36,6,1025,2004,1.3779310344827587
Cubs,89,73,3.83,622,162,3,2,42,68.0,24.0,1465.1,6262,1363,665,623,169,545,33,76,50,9,1346,2004,1.302300184287762
Dodgers,93,69,4.01,621,162,2,2,51,57.0,9.0,1453.1,6155,1386,684,647,178,521,47,54,43,2,1066,2004,1.3123666643727205
Padres,87,75,4.03,599,162,3,2,44,76.0,20.0,1441.0,6135,1460,705,645,184,422,39,48,27,2,1079,2004,1.3060374739764053
Twins,92,70,4.04,597,162,4,4,48,48.0,20.0,1476.0,6269,1523,715,663,167,431,27,54,45,1,1123,2004,1.3238482384823849
Cardinals,105,57,3.75,631,162,4,2,57,89.0,16.0,1453.2,6104,1378,659,605,169,440,24,67,42,4,1041,2004,1.2510322047894302
Marlins,83,79,4.1,566,162,6,3,53,54.0,22.0,1439.0,6110,1395,700,655,166,513,61,51,35,3,1116,2004,1.3259207783182765
Mets,71,91,4.1,636,162,2,2,31,70.0,21.0,1449.0,6333,1452,731,660,156,592,70,49,30,8,977,2004,1.4106280193236715
Athletics,91,71,4.17,576,162,10,3,35,71.0,28.0,1471.1,6313,1466,742,682,164,544,49,68,39,5,1034,2004,1.3663245190673647
Red Sox,98,64,4.19,599,162,4,1,36,53.0,13.0,1451.1,6222,1430,768,676,159,447,28,92,39,1,1132,2004,1.2935014816346222
Brewers,67,94,4.26,584,161,6,1,42,59.0,22.0,1442.0,6204,1440,757,683,164,476,27,51,59,5,1098,2004,1.3287101248266298
Astros,92,70,4.05,655,162,2,2,47,74.0,23.0,1443.0,6201,1416,698,650,174,525,61,68,45,3,1282,2004,1.345114345114345
Angels,92,70,4.28,505,162,2,2,50,54.0,17.0,1454.1,6246,1476,734,692,170,502,27,44,61,7,1164,2004,1.360291589299223
Dodgers,71,91,4.38,620,162,6,4,40,66.0,19.0,1427.1,6113,1434,755,695,182,471,34,64,36,6,1004,2005,1.334874921168804
Pirates,67,95,4.44,613,162,4,3,35,59.0,12.0,1436.0,6264,1456,769,708,162,612,65,65,53,4,958,2005,1.4401114206128134
Mariners,69,93,4.49,595,162,6,2,39,73.0,20.0,1427.2,6172,1483,751,712,179,496,32,57,36,4,892,2005,1.3866311659192825
Tigers,71,91,4.52,587,162,7,0,37,56.0,20.0,1435.2,6139,1504,787,721,193,461,33,51,53,5,907,2005,1.3691471571906355
Yankees,95,67,4.54,580,162,8,4,46,69.0,21.0,1430.2,6182,1495,789,721,164,463,25,84,37,6,985,2005,1.369039295203468
Diamondbacks,77,85,4.87,620,162,6,1,45,64.0,17.0,1456.1,6402,1580,856,788,193,537,43,62,58,5,1038,2005,1.4538836618364124
Red Sox,95,67,4.74,604,162,6,0,38,59.0,19.0,1429.0,6227,1550,805,753,164,440,28,89,56,4,959,2005,1.3925822253324003
Rangers,79,83,4.97,616,162,2,1,46,48.0,22.0,1440.0,6371,1589,858,795,159,522,31,60,44,4,932,2005,1.4659722222222222
Rockies,67,95,5.14,621,162,4,1,37,68.0,26.0,1418.2,6385,1600,862,810,175,604,54,84,65,6,981,2005,1.5540826399661543
Reds,73,89,5.18,654,163,2,0,31,63.0,16.0,1433.0,6397,1657,889,824,219,492,47,80,53,3,955,2005,1.4996510816468946
Giants,75,87,4.35,673,162,4,0,46,89.0,28.0,1444.1,6280,1456,745,698,151,592,42,42,38,3,972,2005,1.4181843362648017
Orioles,74,88,4.56,636,162,2,0,38,70.0,19.0,1427.2,6242,1458,800,724,180,580,32,52,70,11,1052,2005,1.4279708520179373
Phillies,88,74,4.21,604,162,4,0,40,78.0,23.0,1435.0,6119,1379,726,672,189,487,51,72,36,9,1159,2005,1.3003484320557492
Mets,83,79,3.77,554,162,8,3,38,49.0,21.0,1435.2,6121,1390,648,602,135,491,43,56,32,4,1012,2005,1.31061872909699
Marlins,83,79,4.19,611,162,14,8,42,55.0,18.0,1442.1,6236,1459,732,671,116,563,57,65,45,3,1125,2005,1.4021219055543999
Padres,82,80,4.13,618,162,4,3,45,70.0,20.0,1455.1,6253,1452,726,668,146,503,45,46,36,3,1133,2005,1.3435502714590064
